epoch,total,rec,kl,beta
428,119.264631,113.759305,5.505326,1.0000
429,119.071090,113.504884,5.566205,1.0000
430,119.179472,113.645050,5.534422,1.0000
431,119.117073,113.482575,5.634498,1.0000
432,119.280770,113.742810,5.537960,1.0000
433,119.278196,113.675077,5.603119,1.0000
434,119.308914,113.876743,5.432172,1.0000
435,119.478324,113.927848,5.550476,1.0000
436,119.404847,113.836611,5.568236,1.0000
437,119.375582,113.809364,5.566218,1.0000
438,119.290848,113.642650,5.648197,1.0000
439,119.335937,113.730243,5.605695,1.0000
440,119.367010,113.849197,5.517814,1.0000
441,119.259568,113.729847,5.529722,1.0000
442,119.171099,113.631570,5.539528,1.0000
443,119.077937,113.525236,5.552702,1.0000
444,119.206704,113.630342,5.576362,1.0000
445,119.128119,113.523998,5.604121,1.0000
446,119.108189,113.575175,5.533014,1.0000
447,119.186569,113.571129,5.615440,1.0000
448,119.077828,113.522261,5.555567,1.0000
449,119.125016,113.562361,5.562655,1.0000
450,119.121328,113.610064,5.511264,1.0000
451,119.104200,113.525095,5.579105,1.0000
452,119.072274,113.493167,5.579107,1.0000
453,119.144157,113.543242,5.600915,1.0000
454,119.183934,113.510054,5.673880,1.0000
455,119.052560,113.458668,5.593893,1.0000
456,119.044083,113.438828,5.605255,1.0000
457,119.163545,113.482624,5.680921,1.0000
458,119.145912,113.558175,5.587737,1.0000
459,119.166613,113.573750,5.592864,1.0000
460,118.945584,113.344841,5.600743,1.0000
461,119.049273,113.500142,5.549130,1.0000
462,119.104807,113.429011,5.675796,1.0000
463,118.984955,113.438138,5.546817,1.0000
464,119.011475,113.353253,5.658222,1.0000
465,118.920921,113.339397,5.581524,1.0000
466,119.057112,113.436247,5.620866,1.0000
467,119.067282,113.425879,5.641402,1.0000
468,119.001746,113.503532,5.498213,1.0000
469,119.011824,113.321853,5.689971,1.0000
470,118.905725,113.340807,5.564918,1.0000
471,118.915772,113.264682,5.651090,1.0000
472,118.965618,113.358719,5.606899,1.0000
473,119.065190,113.404010,5.661180,1.0000
474,118.920622,113.302652,5.617970,1.0000
475,119.059572,113.437916,5.621656,1.0000
476,119.026896,113.340408,5.686488,1.0000
477,118.979076,113.365429,5.613647,1.0000
478,119.099782,113.498850,5.600932,1.0000
479,118.912195,113.257961,5.654234,1.0000
480,118.826826,113.232963,5.593864,1.0000
481,119.046780,113.407527,5.639253,1.0000
482,118.944914,113.240279,5.704636,1.0000
483,118.895503,113.210518,5.684985,1.0000
484,118.753555,113.161955,5.591599,1.0000
485,118.939980,113.260054,5.679926,1.0000
486,118.738375,113.038445,5.699930,1.0000
487,118.813898,113.189978,5.623919,1.0000
488,118.850032,113.271670,5.578362,1.0000
489,118.758294,113.023668,5.734626,1.0000
490,118.686809,113.171586,5.515222,1.0000
491,118.795386,113.063828,5.731558,1.0000
492,118.751841,113.222682,5.529158,1.0000
493,118.732422,113.048075,5.684348,1.0000
494,118.780622,113.132388,5.648233,1.0000
495,118.757673,113.053292,5.704381,1.0000
496,118.692090,113.054991,5.637099,1.0000
497,118.893155,113.110826,5.782329,1.0000
498,118.575110,112.879838,5.695273,1.0000
499,118.703179,113.092153,5.611026,1.0000
500,118.725770,113.094612,5.631158,1.0000
501,118.803793,113.045737,5.758056,1.0000
502,118.893013,113.211887,5.681126,1.0000
503,118.751484,113.102557,5.648927,1.0000
504,118.654655,113.062265,5.592391,1.0000
505,118.533262,112.902534,5.630728,1.0000
506,118.642096,112.945604,5.696492,1.0000
507,118.680334,113.004810,5.675524,1.0000
508,118.829028,113.087029,5.741999,1.0000
509,118.664962,113.071871,5.593091,1.0000
510,118.693759,112.992977,5.700782,1.0000
511,118.576215,112.914986,5.661229,1.0000
512,118.718928,113.016324,5.702604,1.0000
513,118.812648,113.099080,5.713568,1.0000
514,118.721329,113.066285,5.655044,1.0000
515,118.671183,112.959825,5.711358,1.0000
516,118.766373,113.022846,5.743527,1.0000
517,118.796860,113.161995,5.634865,1.0000
518,118.655274,112.937505,5.717769,1.0000
519,118.497888,112.828340,5.669548,1.0000
520,118.427801,112.677172,5.750629,1.0000
521,118.497518,112.809982,5.687537,1.0000
522,118.525156,112.849319,5.675837,1.0000
523,118.544481,112.934488,5.609993,1.0000
524,118.624312,112.949839,5.674473,1.0000
525,118.655971,113.086474,5.569497,1.0000
526,118.671776,112.964124,5.707652,1.0000
527,118.490117,112.764981,5.725136,1.0000
528,118.670957,112.920895,5.750062,1.0000
529,118.703426,112.990081,5.713345,1.0000
530,118.543699,112.761234,5.782465,1.0000
531,118.536281,112.798630,5.737651,1.0000
